itemid,hasbird,base,name,Frequence max
08ef1278-8fa9-4bc0-a7d3,avec oiseau,apprentissage,08ef1278-8fa9-4bc0-a7d3,8311.657446597299
e5952a89-3fd2-4c8d-ac06,avec oiseau,apprentissage,e5952a89-3fd2-4c8d-ac06,6743.08641641181
bcba98af-0a81-4a98-8534,sans oiseau,apprentissage,bcba98af-0a81-4a98-8534,395.35914368453814
ef9187a0-7a64-4509-ab8d,avec oiseau,apprentissage,ef9187a0-7a64-4509-ab8d,517.8062652260934
3c065034-ffbd-408d-8cfc,avec oiseau,apprentissage,3c065034-ffbd-408d-8cfc,4030.602434607102
8ef33309-ae45-48e5-91af,avec oiseau,apprentissage,8ef33309-ae45-48e5-91af,8539.900860660202
e27589ff-d9cd-430e-bcca,sans oiseau,apprentissage,e27589ff-d9cd-430e-bcca,9800.033153806598
b59c536e-3d5e-46ce-8295,avec oiseau,apprentissage,b59c536e-3d5e-46ce-8295,6755.766956630802
86c60744-83cc-4c6f-9b9f,sans oiseau,apprentissage,86c60744-83cc-4c6f-9b9f,6545.0587296002595
f560d4b7-3586-47c8-8096,sans oiseau,apprentissage,f560d4b7-3586-47c8-8096,6616.869874692143
f86ffe99-0bc9-4e62-9bbb,sans oiseau,apprentissage,f86ffe99-0bc9-4e62-9bbb,1548.1117360363864
cea05bb3-047d-4fd9-83bb,sans oiseau,apprentissage,cea05bb3-047d-4fd9-83bb,2720.102868536729
1d1bb98a-1fdb-4c96-ab59,avec oiseau,apprentissage,1d1bb98a-1fdb-4c96-ab59,10041.253750120972
db6c4c5e-8b58-43a4-ad53,avec oiseau,apprentissage,db6c4c5e-8b58-43a4-ad53,4565.369312016205
5943433a-94d2-433a-9957,avec oiseau,apprentissage,5943433a-94d2-433a-9957,11025.0
0d842387-a468-4a57-a2a9,sans oiseau,apprentissage,0d842387-a468-4a57-a2a9,9892.23659033393
13c161f5-ab04-4e41-a25d,avec oiseau,apprentissage,13c161f5-ab04-4e41-a25d,1959.2936654120285
7b53f4f6-6318-49b7-92e5,avec oiseau,apprentissage,7b53f4f6-6318-49b7-92e5,7443.2952360888
73b5d524-d6c7-4a99-8fec,avec oiseau,apprentissage,73b5d524-d6c7-4a99-8fec,8402.511280303099
0e74e552-9cbc-4330-8a6e,avec oiseau,apprentissage,0e74e552-9cbc-4330-8a6e,6760.789078677289
ba426d24-254e-49cd-ac1e,avec oiseau,apprentissage,ba426d24-254e-49cd-ac1e,1020.045030789124
e56efe34-a565-40c9-a144,avec oiseau,apprentissage,e56efe34-a565-40c9-a144,1877.4013825643276
6b32b0f1-5e88-4051-aaf4,avec oiseau,apprentissage,6b32b0f1-5e88-4051-aaf4,6125.277563783025
1387c3ca-2f57-4e21-a07e,avec oiseau,apprentissage,1387c3ca-2f57-4e21-a07e,455.3533113032457
e85f57ac-21ba-4cf6-9b78,avec oiseau,apprentissage,e85f57ac-21ba-4cf6-9b78,11025.0
1695b80c-e789-42f8-8704,sans oiseau,apprentissage,1695b80c-e789-42f8-8704,1493.4101599247413
533200f0-6b98-4bd1-81af,avec oiseau,apprentissage,533200f0-6b98-4bd1-81af,2668.0525859969143
96bb2518-420b-4287-8a14,avec oiseau,apprentissage,96bb2518-420b-4287-8a14,4320.904366731183
0a2c929d-0e63-414b-bf90,avec oiseau,apprentissage,0a2c929d-0e63-414b-bf90,7685.578200469809
3bb93342-bf4a-4843-aa4a,avec oiseau,apprentissage,3bb93342-bf4a-4843-aa4a,7431.4589028119835
9548c5bf-87d5-4163-9533,avec oiseau,apprentissage,9548c5bf-87d5-4163-9533,2527.9134004073826
34c4a2af-0240-4dc9-90a2,avec oiseau,apprentissage,34c4a2af-0240-4dc9-90a2,4584.6289029099125
04a44d4f-97f5-4ec4-8e03,avec oiseau,apprentissage,04a44d4f-97f5-4ec4-8e03,4620.110135544484
28a07e00-daa4-42be-b216,sans oiseau,apprentissage,28a07e00-daa4-42be-b216,11025.0
2066b2d3-4e10-40be-ae00,sans oiseau,apprentissage,2066b2d3-4e10-40be-ae00,6249.558851389753
f8f21a26-6772-463e-9c4e,sans oiseau,apprentissage,f8f21a26-6772-463e-9c4e,2631.126326973547
1f0b1dd7-4a9a-4784-b7c6,sans oiseau,apprentissage,1f0b1dd7-4a9a-4784-b7c6,6680.05088477753
6066f2d8-83bd-4fe0-9524,sans oiseau,apprentissage,6066f2d8-83bd-4fe0-9524,2052.2303553831266
b35ffbf7-9d65-4028-b2bb,avec oiseau,apprentissage,b35ffbf7-9d65-4028-b2bb,9592.705593666116
60d46b89-3c2b-4b85-a440,avec oiseau,apprentissage,60d46b89-3c2b-4b85-a440,8432.85532343861
f9b237f8-5eed-4faa-a34f,sans oiseau,apprentissage,f9b237f8-5eed-4faa-a34f,2798.1744954015185
77367a7c-458f-47a0-9872,avec oiseau,apprentissage,77367a7c-458f-47a0-9872,11025.0
0c89d97a-720a-4cc6-97d2,avec oiseau,apprentissage,0c89d97a-720a-4cc6-97d2,8918.001764128781
4c86ffb4-6c48-47f5-b654,avec oiseau,apprentissage,4c86ffb4-6c48-47f5-b654,2613.7848370870533
20167e91-5be7-413c-9b3b,avec oiseau,apprentissage,20167e91-5be7-413c-9b3b,3721.090775922092
321a72c4-f98b-4ee6-bd16,avec oiseau,apprentissage,321a72c4-f98b-4ee6-bd16,4518.159957330247
a429dde0-ac55-4523-b783,avec oiseau,apprentissage,a429dde0-ac55-4523-b783,4578.439023066977
ec331234-4629-4641-a8b7,avec oiseau,apprentissage,ec331234-4629-4641-a8b7,7262.537186570336
4f847e7b-201f-45ef-ac4a,avec oiseau,apprentissage,4f847e7b-201f-45ef-ac4a,6644.477273757194
0b865977-0276-47c1-b492,avec oiseau,apprentissage,0b865977-0276-47c1-b492,8933.525264553844
bcf7e3ae-d3d0-4472-85bb,sans oiseau,apprentissage,bcf7e3ae-d3d0-4472-85bb,7097.228214075316
3d980a67-b0d4-4b23-a202,avec oiseau,apprentissage,3d980a67-b0d4-4b23-a202,7713.829873609569
fc5af1a1-60f4-4e2c-905a,avec oiseau,apprentissage,fc5af1a1-60f4-4e2c-905a,9027.877042435643
be31dda4-3b86-48fe-8919,sans oiseau,apprentissage,be31dda4-3b86-48fe-8919,3065.2108392842597
36de0504-c9f3-41d1-a019,sans oiseau,apprentissage,36de0504-c9f3-41d1-a019,1000.9784444223701
b2952a5b-6e87-4b3d-b7a8,avec oiseau,apprentissage,b2952a5b-6e87-4b3d-b7a8,7278.88508484668
01dda7d0-fff5-4c87-bfaf,avec oiseau,apprentissage,01dda7d0-fff5-4c87-bfaf,3010.3987929307964
caa95efa-6c66-4fa2-b413,avec oiseau,apprentissage,caa95efa-6c66-4fa2-b413,11025.0
468b9aa8-31bb-48ef-a5d8,avec oiseau,apprentissage,468b9aa8-31bb-48ef-a5d8,11025.0
5909c78e-4775-4d8a-8eba,avec oiseau,apprentissage,5909c78e-4775-4d8a-8eba,5539.342321989505
f3743d8b-99f3-4d12-aa5a,avec oiseau,apprentissage,f3743d8b-99f3-4d12-aa5a,347.62480672025754
529b32a3-28f8-40cb-96d4,avec oiseau,apprentissage,529b32a3-28f8-40cb-96d4,6214.379108607392
b1f75ad8-974b-4289-a8bb,sans oiseau,apprentissage,b1f75ad8-974b-4289-a8bb,11025.0
11d47d9a-07c3-46fd-b81e,avec oiseau,apprentissage,11d47d9a-07c3-46fd-b81e,5704.815506604765
a7fe909a-a71d-4eee-8f7c,avec oiseau,apprentissage,a7fe909a-a71d-4eee-8f7c,8028.7685570396325
49c5cd07-ecc4-4f04-abc9,avec oiseau,apprentissage,49c5cd07-ecc4-4f04-abc9,5001.068918479439
fa1780e9-dd50-4248-8d79,avec oiseau,apprentissage,fa1780e9-dd50-4248-8d79,2939.4337698826303
9bae90d1-36d3-4c41-b42d,avec oiseau,apprentissage,9bae90d1-36d3-4c41-b42d,6496.491367199891
b3e61c0f-4712-49d8-898b,sans oiseau,apprentissage,b3e61c0f-4712-49d8-898b,3265.7877554328734
e0927c1b-2282-4f09-8e6a,sans oiseau,apprentissage,e0927c1b-2282-4f09-8e6a,764.8068409378676
fad7ce62-13d8-4830-8761,avec oiseau,apprentissage,fad7ce62-13d8-4830-8761,8407.794938105271
ef6b8e1f-1988-4634-85a8,avec oiseau,apprentissage,ef6b8e1f-1988-4634-85a8,7519.482259330428
6a7521e3-6bf2-47b3-8ebb,avec oiseau,apprentissage,6a7521e3-6bf2-47b3-8ebb,4441.139078152705
d92c1d01-5ebb-4456-9c35,avec oiseau,apprentissage,d92c1d01-5ebb-4456-9c35,5253.249875379526
